job_id,company,title,location,description,skills,experience_level,url,source,compensation_min,compensation_max,application_deadline
JOB-001,TechNova Inc,Junior Backend Engineer,Remote,"Build and maintain REST APIs in Python and Java for our e-commerce platform. Work with PostgreSQL, Docker, and AWS Lambda in an agile team. Participate in code review and pair programming with senior engineers.","Python, Java, REST APIs, PostgreSQL, Docker, AWS Lambda, Git",Entry-level (0-2 years),https://example.com/jobs/JOB-001,synthetic,90000,115000,2026-10-15
JOB-002,BrightPath Software,Software Engineer I,"New York, NY",Join our platform team building scalable backend services using Java and Spring Boot deployed on AWS. Collaborate with frontend engineers on FastAPI-based internal tools and SQL-backed reporting services.,"Java, Spring Boot, AWS, FastAPI, SQL, Git",Entry-level (0-2 years),https://example.com/jobs/JOB-002,synthetic,95000,120000,2026-10-01
JOB-003,CloudForge Labs,Full Stack Software Engineer - New Grad,Remote,Develop full-stack features spanning a Python and FastAPI backend and a React frontend. Deploy services to AWS using Docker and GitHub Actions CI/CD pipelines. Great fit for new graduates comfortable with both frontend and backend work.,"Python, FastAPI, React, AWS, Docker, CI/CD, Git",New graduate,https://example.com/jobs/JOB-003,synthetic,90000,110000,2026-11-01
JOB-004,Fenwick Systems,Backend Software Engineer,"Austin, TX",Design and implement RESTful APIs and microservices in Java and Python. Manage relational databases and deploy backend services on AWS EC2 and S3. Ideal for engineers with 0-2 years of backend experience.,"Java, Python, Microservices, REST APIs, AWS EC2, AWS S3, SQL",0-2 years,https://example.com/jobs/JOB-004,synthetic,88000,108000,2026-10-20
JOB-005,Riverstone Digital,Associate Software Engineer,Remote,"Support backend development for our internal tooling platform using Python, Git, and Linux. Write REST APIs, participate in code reviews, and help operate services on AWS.","Python, Git, Linux, Docker, SQL, AWS",Entry-level,https://example.com/jobs/JOB-005,synthetic,80000,100000,2026-10-10
JOB-006,Marlowe Systems,New Grad Software Engineer - Backend,"New York, NY","Rotational new-grad role building backend services in Java and Python. Exposure to AWS infrastructure, relational databases, and distributed systems fundamentals. Mentorship provided by senior backend engineers.","Java, Python, AWS, SQL, Distributed Systems, Git",New graduate,https://example.com/jobs/JOB-006,synthetic,95000,115000,2026-11-15
JOB-007,Ashgrove Technologies,"Software Engineer, Platform",Remote,"Build internal platform APIs with FastAPI and Python, containerized with Docker and deployed to AWS. Work closely with product teams to ship backend features for our SaaS platform.","Python, FastAPI, Docker, AWS, REST APIs, Git",Entry-level (0-2 years),https://example.com/jobs/JOB-007,synthetic,92000,112000,2026-10-05
JOB-008,Ninth Wave Software,Junior Full Stack Engineer,Remote,Work across a Java Spring Boot backend and a React frontend to deliver new product features. Use SQL databases and AWS for deployment. Open to new graduates with internship experience.,"Java, Spring Boot, React, SQL, AWS, Git",Entry-level (0-2 years),https://example.com/jobs/JOB-008,synthetic,88000,108000,2026-10-25
JOB-009,Ferncrest Technologies,Backend Engineer I,"Chicago, IL","Own backend services written in Python and Java that power our logistics platform. Deploy on AWS Lambda and EC2, use Docker for local development, and collaborate in an agile team.","Python, Java, AWS Lambda, AWS EC2, Docker, REST APIs",0-2 years,https://example.com/jobs/JOB-009,synthetic,90000,112000,2026-11-05
JOB-010,Copperline Systems,Software Engineer - New Grad Program,"New York, NY","Two-year rotational new-grad program across backend and full-stack teams. Build REST APIs in Python and Java, work with SQL databases, and deploy to AWS with Docker and CI/CD pipelines.","Python, Java, REST APIs, SQL, AWS, Docker, CI/CD",New graduate,https://example.com/jobs/JOB-010,synthetic,95000,118000,2026-12-01
